,EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,EVENT START DATE,COMMENTS,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE,CITY,PROVINCE,COUNTRY,ID
10,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Calgary AB,1995-07-17 0:00,"Calgary AB, July 17, 1995.",0.0,0.0,0.0,74559612.0,5106822.7,1995-07-17 0:00,unknown,unknown,18858612.0,unknown,unknown,55701000.0,unknown,0.0,0.0,Calgary, AB,CA,10
11,Disaster,Natural,Geological,Landslide,Upper Arrow Lake BC,1903-02-28 0:00,"Upper Arrow Lake BC, February 28, 1903.  A mass of rock estimated to be around 250, 000 m³ broke away from the bluff of a cliff, generating waves of up to 3 m when it hit the lake.  A number of boats and a wharf were damaged, creating havoc with shipping on Upper Arrow Lake .",0.0,0.0,0.0,unknown,unknown,1903-02-28 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Upper Arrow Lake, BC,CA,11
12,Incident,Technology,Fire,Non-Residential,Toronto ON,1904-04-19 0:00,"Toronto ON, April 19, 1904. ""The Great Toronto Fire""; on the evening of April 19, 1904 a fire started in a building in downtown Toronto; due to low water pressure, poor fire-fighting equipment and heavy winds, the fire spread quickly; 98 buildings burned; no fatalities.",0.0,0.0,0.0,unknown,unknown,1904-04-19 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Toronto, ON,CA,12
13,Disaster,Natural,Meteorological - Hydrological,Flood,Red River MB,1904-04-24 0:00,"Red River MB, April 24, 1904. Severe flooding in the Winnipeg area of the Red River.",0.0,0.0,0.0,unknown,unknown,1904-04-24 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Red River, MB,CA,13
14,Disaster,Natural,Meteorological - Hydrological,Winter Storm,Nova Scotia,1905-02-15 0:00,"Nova Scotia, February 15-17, 1905. Most severe storm of the ""Year of the Big Snow.""",0.0,0.0,0.0,unknown,unknown,1905-02-17 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,OTHER,OTHER,OTHER,14
15,Disaster,Natural,Geological,Landslide,Spences Bridge BC,1905-08-13 0:00,"Spences Bridge BC, August 13, 1905. A large gravel bank broke away from a mountain side and came crashing down on a First Nation reserve destroying homes and the local church; 15 dead; the landslide into the Thompson River caused a wave which swept victims away.",15.0,0.0,0.0,unknown,unknown,1905-08-13 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Spences Bridge, BC,CA,15
16,Incident,Technology,Transportation accident,Marine,Vancouver Island (BC),1906-01-01 0:00,"British Columbia, 1906. 126 dead: wreck of ""Valencia"" off Vancouver Island.",126.0,0.0,0.0,unknown,unknown,1906-01-01 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,OTHER,OTHER,OTHER,16
17,Incident,Technology,Infrastructure failure,Transportation,Quebec City QC,1907-08-29 0:00,"Quebec City QC, August 29, 1907. Nearing the completion of construction of the Quebec Bridge, the southern span of the bridge over the Saint Lawrence River collapsed, killing 75 workmen.",75.0,0.0,0.0,unknown,unknown,1907-08-29 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Quebec City, QC,CA,17
18,Disaster,Natural,Geological,Landslide,Notre-Dame-de-la-Salette QC,1908-04-26 0:00,"Notre-Dame-de-la-Salette QC, April 26, 1908. 33 dead, many injured; a tract of land 2.4 km wide and extending 450 metres back slid into the Lièvre River, carrying with it two houses, and crashed into a row of buildings on the opposite side.",33.0,0.0,0.0,unknown,unknown,1908-04-26 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Salette, QC,CA,18
19,Incident,Technology,Fire,Residential,Fernie BC,1908-08-01 0:00,"Fernie BC, August 1-3 1908. 100 dead; 6000 homeless.",100.0,0.0,6000.0,unknown,unknown,1908-08-03 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Fernie, BC,CA,19
20,Disaster,Natural,Meteorological - Hydrological,Flood,Chester NB,1909-01-04 0:00,"Chester NB, January 4, 1909. Mild weather caused ice to travel and possibly jam, creating floods which caused expensive damage to highway bridges and roads; a 9-year old child fell from a small bridge and drowned in a flood swollen stream near Chester.",1.0,0.0,0.0,unknown,unknown,1909-01-04 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Chester, NB,CA,20
21,Disaster,Natural,Geological,Landslide,Burnaby and New Westminster BC,1909-11-28 0:00,"Burnaby and New Westminster BC, November 28, 1909. 22 dead; 15 injured; slump of railway embankment; trail derailed.",22.0,15.0,0.0,unknown,unknown,1909-11-28 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,OTHER,OTHER,OTHER,21
22,Disaster,Natural,Geological,Landslide,Burnaby and New Westminster BC,1909-11-28 0:00,"Burnaby and New Westminster BC, November 28, 1909. 22 dead; 15 injured; slump of railway embankment; trail derailed.",22.0,15.0,0.0,unknown,unknown,1909-11-28 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,New Westminster, BC,CA,21
23,Incident,Technology,Transportation accident,Rail,Spanish River ON,1910-01-21 0:00,"Spanish River ON, January 21, 1910. 63 dead, 20 injured: the back half of a CPR passenger train, en route to Minneapolis, left the track after it struck the end of a bridge.",63.0,20.0,0.0,unknown,unknown,1910-01-21 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Spanish River, ON,CA,23
24,Disaster,Natural,Meteorological - Hydrological,Avalanche,Rogers Pass BC,1910-03-05 0:00,"Rogers Pass BC, March 5, 1910. 62 dead (CPR workers), one survivor; an avalanche struck workers as they cleared the tracks of snow dumped by a previous slide.",62.0,0.0,0.0,unknown,unknown,1910-03-05 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Rogers Pass, BC,CA,24
25,Disaster,Natural,Geological,Landslide,St-Alphonse-de-Bagotville QC,1910-04-15 0:00,"St-Alphonse-de-Bagotville QC, April 15, 1910.  Construction camp buried by landslide in leda clay caused by blasting during construction of railway.",4.0,0.0,0.0,unknown,unknown,1910-04-15 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Bagotville, QC,CA,25
26,Disaster,Natural,Geological,Landslide,Coucoucache QC,1910-04-18 0:00,"Coucoucache QC, April 18, 1910.  Slump of railway embankment; work train derailed.",6.0,0.0,0.0,unknown,unknown,1910-04-18 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Coucoucache, QC,CA,26
27,Disaster,Natural,Meteorological - Hydrological,Wildfire,Cochrane ON,1911-07-11 0:00,"Cochrane and northern region ON, July 11, 1911. A Forest fire resulted in 73 deaths (unofficially in the hundreds), 200 made homeless, 804,650 sq km destroyed.",73.0,0.0,200.0,unknown,unknown,1911-07-11 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Cochrane, ON,CA,27
28,Disaster,Natural,Meteorological - Hydrological,Tornado,Regina SK,1912-06-30 0:00,"Regina SK, June 30 1912. 28 dead, hundreds injured, 2500 homeless; more than 400 of the finest buildings in the city were destroyed.",28.0,100.0,2500.0,unknown,unknown,1912-06-30 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Regina, SK,CA,28
29,Disaster,Natural,Meteorological - Hydrological,Heat Event,Eastern Canada,1912-07-08 0:00,"Eastern Canada, July 8-10, 1912. Temperatures of >32°C from Ontario to the Atlantic Ocean; at least 3 heat-related deaths in adults were reported, while many more infant deaths were believed to occur in poor areas; one Ontario farmer committed suicide, while a mother killed her children (July 9); wheat, barley, and oats grew below average height and grade.",3.0,0.0,0.0,unknown,unknown,1912-07-10 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,OTHER,OTHER,OTHER,29
30,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,"Lakes Huron, Erie and Ontario",1913-11-07 0:00,"Lakes Huron, Erie, and Ontario, November 7-13, 1913. 270 sailors drowned: 34 ships went down during a fierce weekend storm with winds up to 140 km/h: entire crews of eight ships were lost.",270.0,0.0,0.0,unknown,unknown,1913-11-13 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,OTHER,OTHER,OTHER,30
31,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,"Lakes Huron, Erie and Ontario",1913-11-07 0:00,"Lakes Huron, Erie, and Ontario, November 7-13, 1913. 270 sailors drowned: 34 ships went down during a fierce weekend storm with winds up to 140 km/h: entire crews of eight ships were lost.",270.0,0.0,0.0,unknown,unknown,1913-11-13 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,OTHER,OTHER,OTHER,30
32,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,"Lakes Huron, Erie and Ontario",1913-11-07 0:00,"Lakes Huron, Erie, and Ontario, November 7-13, 1913. 270 sailors drowned: 34 ships went down during a fierce weekend storm with winds up to 140 km/h: entire crews of eight ships were lost.",270.0,0.0,0.0,unknown,unknown,1913-11-13 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,OTHER,OTHER,OTHER,30
33,Disaster,Natural,Meteorological - Hydrological,Winter Storm,Labrador,1914-04-01 0:00,"Labrador, April 1, 1914. Seventy-seven sealers froze to death during a violent storm on the ice off the southeast coast of Labrador.  At the height of the storm, from March 31-April 2, the temperature was -23°C with winds from the northwest at 64 km/h.  Captain Wes Keane of the ""Newfoundland,"" his ship being stuck in the ice for three days, suggested to the sealers to walk across the ice to the hunt; and if the weather deteriorated they could take shelter on his father's ship; after a long walk, the men found no seals but came upon the ship ""Stephano"" commanded by Captain Abram Keane; they were taken aboard and sailed to the site of the hunt but told to walk back to their own ship after the hunt; the ""Newfoundland"" had no radio aboard; both ships left not knowing that the men were missing lost on the ice.",77.0,0.0,0.0,unknown,unknown,1914-04-01 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,OTHER,OTHER,OTHER,33
34,Incident,Technology,Transportation accident,Marine,St. Lawrence River QC,1914-05-28 0:00,"St. Lawrence River QC, May 28 1914. 1024 dead: the CP liner ""Empress of Ireland"" collided with the Norwegian coal ship ""Storstad"" and sank in 14 minutes: many lost were members of the Salvation Army: 840 dead were passengers.",1024.0,0.0,0.0,unknown,unknown,1914-05-28 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0, Lawrence River, QC,CA,34
35,Incident,Technology,Explosion,Non-Residential,Hillcrest AB,1914-06-19 0:00,"Hillcrest AB, June 19, 1914. 189 dead, 48 survivors: a dust explosion occurred in the coal mine.",189.0,48.0,0.0,unknown,unknown,1914-06-19 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Hillcrest, AB,CA,35
36,Disaster,Natural,Meteorological - Hydrological,Flood,North Saskatchewan River AB and SK,1915-01-01 0:00,"North Saskatchewan River AB and SK, 1915. The combination of rain in the foothills and snowmelt resulted in the highest recorded spring flows on the North Saskatchewan River; the cities of Edmonton AB, and Prince Albert SK were flooded. About 2000 residents in Edmonton were left homeless.",0.0,0.0,2000.0,unknown,unknown,1915-01-01 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,North Saskatchewan River, AB,CA,36
37,Disaster,Natural,Meteorological - Hydrological,Flood,North Saskatchewan River AB and SK,1915-01-01 0:00,"North Saskatchewan River AB and SK, 1915. The combination of rain in the foothills and snowmelt resulted in the highest recorded spring flows on the North Saskatchewan River; the cities of Edmonton AB, and Prince Albert SK were flooded. About 2000 residents in Edmonton were left homeless.",0.0,0.0,2000.0,unknown,unknown,1915-01-01 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,OTHER,OTHER,OTHER,36
38,Incident,Technology,Infrastructure failure,Manufacturing / Industry,Wellington BC,1915-02-01 0:00,"Wellington BC, February 1915. An accident at the Wellington Colliery led to the drowning of 19 miners.",19.0,0.0,0.0,unknown,unknown,1915-02-01 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Wellington, BC,CA,38
39,Disaster,Natural,Geological,Landslide,"Cooper Mine, Jane Camp BC",1915-03-22 0:00,"Cooper Mine, Jane Camp BC, March 22, 1915. 56 dead, approximately 22 injured; a rock slide from above a portal of a mine wiped out half the buildings at a mine campsite, catching many miners in their bunkhouses.",56.0,22.0,0.0,unknown,unknown,1915-03-22 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,OTHER,OTHER,OTHER,39
40,Disaster,Natural,Geological,Landslide,"Cooper Mine, Jane Camp BC",1915-03-22 0:00,"Cooper Mine, Jane Camp BC, March 22, 1915. 56 dead, approximately 22 injured; a rock slide from above a portal of a mine wiped out half the buildings at a mine campsite, catching many miners in their bunkhouses.",56.0,22.0,0.0,unknown,unknown,1915-03-22 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0, Jane Camp, BC,CA,39
41,Incident,Technology,Fire,Residential,Ottawa ON,1916-02-03 0:00,"Ottawa ON, February 3, 1916. 7 dead; a fire destroyed the Centre Block of the Parliament buildings; only the library survived intact, due to its metal fire doors being closed.",7.0,0.0,0.0,unknown,unknown,1916-02-03 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Ottawa, ON,CA,41
42,Disaster,Natural,Meteorological - Hydrological,Flood,Winnipeg MB,1916-04-24 0:00,"Winnipeg MB, April 24, 1916. Severe flooding in the Winnipeg area of the Red River.",0.0,0.0,0.0,unknown,unknown,1916-04-24 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Winnipeg, MB,CA,42
43,Disaster,Natural,Meteorological - Hydrological,Wildfire,Cochrane and Matheson ON,1916-07-29 0:00,"Cochrane and Matheson ON, July 29, 1916. Both were destroyed;  233 deaths (unofficially as high as 400), 8000 made homeless; the fire resulted from a small blaze started by lightening and augmented by fires started by sparks from a passing locomotive.",233.0,0.0,8000.0,unknown,unknown,1916-07-29 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,OTHER,OTHER,OTHER,43
44,Disaster,Natural,Meteorological - Hydrological,Wildfire,Cochrane and Matheson ON,1916-07-29 0:00,"Cochrane and Matheson ON, July 29, 1916. Both were destroyed;  233 deaths (unofficially as high as 400), 8000 made homeless; the fire resulted from a small blaze started by lightening and augmented by fires started by sparks from a passing locomotive.",233.0,0.0,8000.0,unknown,unknown,1916-07-29 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Matheson, ON,CA,43
45,Incident,Technology,Explosion,Non-Residential,Fernie BC,1917-01-01 0:00,"Fernie BC, 1917.  An explosion at the #3 mine at Coal Creek killed 34 people.",34.0,0.0,0.0,unknown,unknown,1917-01-01 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Fernie, BC,CA,45
46,Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1917-01-01 0:00,"Prairie Provinces, 1917. Cereal crop drought occurred in parts of the Prairies.",0.0,0.0,0.0,0.0,0.0,1917-01-01 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,OTHER,OTHER,OTHER,46
47,Incident,Technology,Explosion,Non-Residential,New Waterford NS,1917-07-25 0:00,"New Waterford NS, July 25, 1917. 65 dead: an explosion took place in mine #1 of the Dominion Coal Company.",65.0,0.0,0.0,unknown,unknown,1917-07-25 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,New Waterford, NS,CA,47
48,Disaster,Natural,Meteorological - Hydrological,Flood,Northwestern British Columbia,1917-10-28 0:00,"Northwestern British Columbia, October 28 - November 19, 1917. Heavy rains caused major flooding along the Skeena and Nass rivers, and landslides also occured in many areas. Numerous bridges were damaged, and the Village of Aiyanish was 'wiped out': houses, crops, and provisions were washed away; cattle and horses drowned.",0.0,0.0,0.0,unknown,unknown,1917-11-19 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,OTHER,OTHER,OTHER,48
49,Incident,Technology,Transportation accident,Marine,Halifax and Dartmouth NS,1917-12-06 0:00,"Halifax and Dartmouth NS, December 6, 1917. 1963 dead, 9000 injured: 1600 buildings destroyed, 12000 damaged, and 6000 people left homeless. The French munitions freighter ""Mont Blanc"" collided with the Belgian relief ship ""Imo"" in Halifax Harbour: the Mont Blanc, full of ammunition, caught fire and exploded, devastating the cities of Halifax and Dartmouth: this was the largest man-made explosion ever to occur prior to the first nuclear explosion.",1963.0,9000.0,6000.0,unknown,unknown,1917-12-06 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,OTHER,OTHER,OTHER,49
50,Incident,Technology,Transportation accident,Marine,Halifax and Dartmouth NS,1917-12-06 0:00,"Halifax and Dartmouth NS, December 6, 1917. 1963 dead, 9000 injured: 1600 buildings destroyed, 12000 damaged, and 6000 people left homeless. The French munitions freighter ""Mont Blanc"" collided with the Belgian relief ship ""Imo"" in Halifax Harbour: the Mont Blanc, full of ammunition, caught fire and exploded, devastating the cities of Halifax and Dartmouth: this was the largest man-made explosion ever to occur prior to the first nuclear explosion.",1963.0,9000.0,6000.0,unknown,unknown,1917-12-06 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Dartmouth, NS,CA,49
51,Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1918-01-01 0:00,"Prairie Provinces, 1918. Cereal crop drought occurred in parts of the Prairies.",0.0,0.0,0.0,0.0,0.0,1918-12-31 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,OTHER,OTHER,OTHER,51
52,Incident,Technology,Explosion,Non-Residential,Pictou County NS,1918-01-23 0:00,"Pictou County NS, January 23, 1918. 88 dead, 11 survivors: an explosion at the Allan coal shaft in the Albion Mines between Stellarton and New Glasgow.",88.0,11.0,0.0,unknown,unknown,1918-01-23 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Pictou County, NS,CA,52
53,Incident,Technology,Fire,Non-Residential,Trenton ON,1918-10-12 0:00,"Trenton ON, October 12, 1918. A munitions factory in the town of Trenton exploded as a result of an uncontrollable fire. The plant was responsible for the production of various chemicals and munitions for the war effort and employed 2500 people. The fire lasted 3 days.",0.0,0.0,0.0,unknown,unknown,1918-10-12 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Trenton, ON,CA,53
54,Incident,Technology,Transportation accident,Marine,"British Columbia, off coast",1918-10-23 0:00,"West coast BC, October 23, 1918. 343 dead: the CP steamship ""Princess Sophia"", carrying miners from Yukon and Alaska, became stranded on Vanderbilt Reef.  Rescuers were unable to remove the 268 passengers and 75 crewmen due to a strong northerly gale.  The next day, weather conditions worsened and the ship sank, killing all on board.",343.0,0.0,0.0,unknown,unknown,1918-10-23 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,OTHER,OTHER,OTHER,54
55,Incident,Technology,Transportation accident,Marine,"British Columbia, off coast",1918-10-23 0:00,"West coast BC, October 23, 1918. 343 dead: the CP steamship ""Princess Sophia"", carrying miners from Yukon and Alaska, became stranded on Vanderbilt Reef.  Rescuers were unable to remove the 268 passengers and 75 crewmen due to a strong northerly gale.  The next day, weather conditions worsened and the ship sank, killing all on board.",343.0,0.0,0.0,unknown,unknown,1918-10-23 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,OTHER,OTHER,OTHER,54
56,Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1920-01-01 0:00,"Prairie Provinces, 1920. Cereal crop drought occurred in parts of the Prairies. Alberta communities were hardest hit.",0.0,0.0,0.0,0.0,0.0,1920-12-31 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,OTHER,OTHER,OTHER,56
57,Disaster,Natural,Meteorological - Hydrological,Flood,Southwestern Ontario,1920-03-17 0:00,"Southwestern Ontario, March 17-21, 1920. Widespread flooding caused minor damages and flooded roads and railways.",0.0,0.0,0.0,unknown,unknown,1920-03-21 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,OTHER,OTHER,OTHER,57
58,Disaster,Natural,Meteorological - Hydrological,Tornado,Southeastern Saskatchewan,1920-07-22 0:00,"Southeastern Saskatchewan, July 22, 1920. The tornado swept over a large portion of southeastern Saskatchewan, devastating the area. Four people died, more than a dozen were injured, and losses to property, equipment, crops and live stock were estimated to be in excess of $100,000 (1920 dollars). Many settlers lost both their homes and livelihoods in one sudden unexpected blow. Large scale relief was undertaken by the Canadian Red Cross to assist 42 affected families in Alameda, Frobisher, Lampman, Steelman, and Estevan SK.",4.0,13.0,unknown,unknown,unknown,1920-07-22 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,OTHER,OTHER,OTHER,58
59,Disaster,Natural,Meteorological - Hydrological,Flood,Icelandic River and Fisher River MB,1986-04-01 0:00,"Icelandic and Fisher Rivers MB, April-June 1986. Little warning preceded the flood on April 1, 1986, which continued on until the end of June. A sudden spring thaw and enormous amounts of rain caused this severe flooding throughout Manitoba. Extensive damage to private, municipal and provincial property was incurred. The areas surrounding Icelandic River and Fisher River were inundated, including Peguis and Fisher River First Nation reserves (148 people were evacuated from Peguis). Major areas affected were the Dauphin Region, Portage la Prairie and the Northern Interlake regions.",0.0,0.0,148.0,2893389.0,264639.2,1986-06-30 0:00,908395.0,1984994.0,unknown,unknown,unknown,unknown,unknown,0.0,0.0,OTHER,OTHER,OTHER,59
60,Disaster,Natural,Meteorological - Hydrological,Flood,Icelandic River and Fisher River MB,1986-04-01 0:00,"Icelandic and Fisher Rivers MB, April-June 1986. Little warning preceded the flood on April 1, 1986, which continued on until the end of June. A sudden spring thaw and enormous amounts of rain caused this severe flooding throughout Manitoba. Extensive damage to private, municipal and provincial property was incurred. The areas surrounding Icelandic River and Fisher River were inundated, including Peguis and Fisher River First Nation reserves (148 people were evacuated from Peguis). Major areas affected were the Dauphin Region, Portage la Prairie and the Northern Interlake regions.",0.0,0.0,148.0,2893389.0,264639.2,1986-06-30 0:00,908395.0,1984994.0,unknown,unknown,unknown,unknown,unknown,0.0,0.0,Fisher River, MB,CA,59
61,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Montreal QC,1986-05-29 0:00,"Montreal QC, May 29, 1986. Hail the size of golf balls/tennis balls (up to 8 cm in diameter) fell in Montréal.",0.0,0.0,0.0,45473000.0,4159115.9,1986-05-29 0:00,0.0,0.0,unknown,unknown,unknown,45473000.0,unknown,0.0,0.0,Montreal, QC,CA,61
